,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
109,109.0,"((-1) + 2) = 3x
",(= (+ (-1) (2)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3))),109.0,(= (+ (1) (* (2) (x))) (* (-3) (x)))|(= (+ (- (* (2) (x)) (* (-3) (x))) (1)) (0))|(= (+ (* (5) (x)) (1)) (0))|(= (x) (/ (-1) (5))),12,24.52
115,115.0,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1)),115.0,unknown,unknown,unknown
20,20.0,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1)),20.0,(= (+ (/ (1) (x)) (-2)) (3))|3|(= (x) (/ (1) (5))),6,34.82857142857143
87,87.0,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),True,x = 2,(= (x) (2)),87.0,(= (1) (+ (-2) (* (3) (x))))|(= (+ (-2) (* (3) (x))) (1))|(= (+ (* (3) (x)) (- (-2) (-2))) (- (1) (-2)))|(= (x) (1)),12,25.53846153846154
23,23.0,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5))),23.0,(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-2) (x)) (* (-4) (x))) (1)) (-3))|(= (+ (* (2) (x)) (1)) (-3))|(= (x) (-2)),12,37.68421052631579
83,83.0,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2)),83.0,unknown,unknown,unknown
229,229.0,"(-1) = (-2x + 3x)
",(= (-1) (+ (* (-2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1)),229.0,unknown,unknown,unknown
28,28.0,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),True,x = -3,(= (x) (-3)),28.0,(= (1) (* (-2) (x)))|(= (* (-2) (x)) (1))|(= (x) (/ (-1) (2))),4,11.666666666666666
218,218.0,"1 = ((-2) + 3x)
",(= (1) (+ (-2) (* (3) (x)))),True,x = 1,(= (x) (1)),218.0,unknown,unknown,unknown
6,6.0,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1)),6.0,(= (+ (* (1) (x)) (2)) (-3))|(= (- (+ (* (1) (x)) (2)) (2)) (- (-3) (2)))|(= (x) (-5)),8,10.272727272727273
127,127.0,"1 = (2x / 3)
",(= (1) (/ (* (2) (x)) (3))),True,x = 3/2,(= (x) (/ (3) (2))),127.0,(= (-1) (+ (2) (* (3) (x))))|(= (+ (2) (* (3) (x))) (-1))|(= (+ (* (3) (x)) (- (2) (2))) (- (-1) (2)))|(= (x) (-1)),12,23.5
213,213.0,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),213.0,unknown,unknown,unknown
9,9.0,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),9.0,(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4)))|(= (+ (- (* (1) (x)) (* (2) (x))) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (+ (* (-1) (x)) (+ (3) (4))) (- (- (* (2) (x)) (+ (3) (4))) (- (* (2) (x)) (+ (3) (4)))))|(= (x) (7)),26,28.103448275862068
63,63.0,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3)),63.0,unknown,unknown,unknown
205,205.0,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),True,x = 7/2,(= (x) (/ (7) (2))),205.0,unknown,unknown,unknown
236,236.0,"(-1) = -2x
",(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2))),236.0,unknown,unknown,unknown
120,120.0,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),120.0,(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (-2) (x))) (4)) (1))|(= (+ (* (-1) (x)) (4)) (1))|(= (x) (3)),12,35.666666666666664
44,44.0,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3/5,(= (x) (/ (-3) (5))),44.0,(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x))))|(= (+ (+ (* (4) (x)) (* (2) (x))) (3)) (-1))|(= (+ (* (6) (x)) (3)) (-1))|(= (x) (/ (-2) (3))),16,31.5
3,3.0,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1)),3.0,(= (-1) (+ (/ (-2) (x)) (-3)))|0|(= (x) (-1)),5,35.861111111111114
114,114.0,"(((-1) / x) * x) = 2x
",(= (* (/ (-1) (x)) (x)) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2))),114.0,unknown,unknown,unknown
209,209.0,"(-1) = (2 + -3x)
",(= (-1) (+ (2) (* (-3) (x)))),True,x = 1,(= (x) (1)),209.0,unknown,unknown,unknown
14,14.0,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9))),14.0,(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4)))|(= (+ (- (* (3) (x)) (* (-2) (x))) (-4)) (-1))|(= (+ (* (5) (x)) (-4)) (-1))|(= (x) (/ (3) (5))),12,34.65714285714286
72,72.0,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2)),72.0,(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4))|(= (+ (- (* (2) (x)) (* (3) (x))) (4)) (-1))|(= (+ (* (-1) (x)) (4)) (-1))|(= (x) (5)),9,21.59090909090909
152,152.0,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5/4,(= (x) (/ (5) (4))),152.0,(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4)))|(= (* (- (-1) (2)) (x)) (+ (-3) (4)))|(= (x) (/ (-1) (3))),6,18.68421052631579
237,237.0,"-1x = (((-2) + -3x) - 4)
",(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4))),True,x = -3,(= (x) (-3)),237.0,unknown,unknown,unknown
188,188.0,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3))),188.0,unknown,unknown,unknown
16,16.0,"(-1) = ((2 / x) + 3)
",(= (-1) (+ (/ (2) (x)) (3))),True,x = -1/2,(= (x) (/ (-1) (2))),16.0,(= (1) (+ (2) (/ (3) (x))))|(= (x) (-3)),4,38.8974358974359
181,181.0,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3)),181.0,(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x))))|(= (+ (* (4) (x)) (- (-2) (+ (* (3) (x)) (* (3) (0))))) (-1))|(= (x) (/ (- (-1) (- (-2) (* (3) (x)))) (4))),24,21.956521739130434
0,0.0,"(1 / 2) = x
",(= (/ (1) (2)) (x)),True,x = 1/2,(= (x) (/ (1) (2))),0.0,(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4))|(= (+ (+ (* (2) (x)) (* (3) (x))) (1)) (4))|(= (+ (* (5) (x)) (1)) (4))|(= (x) (/ (3) (5))),9,29.7
176,176.0,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),True,x = -1,(= (x) (-1)),176.0,(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4)))|(= (+ (* (1) (x)) (-2)) (+ (-4) (* (3) (x))))|(= (+ (- (* (3) (x)) (* (x) (1))) (-4)) (-2))|(= (+ (* (2) (x)) (-4)) (-2))|(= (x) (1)),13,35.638888888888886
175,175.0,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5))),175.0,(= (+ (1) (* (2) (x))) (3))|(= (+ (1) (* (2) (x))) (3))|(= (+ (* (2) (x)) (- (1) (1))) (- (3) (1)))|(= (x) (1)),9,21.59090909090909
159,159.0,"-1x = (2x - 3)
",(= (* (-1) (x)) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1)),159.0,(= (-1) (+ (2) (/ (-3) (x))))|1|(= (x) (1)),5,38.87179487179487
30,30.0,"(1 / x) = 2
",(= (/ (1) (x)) (2)),True,x = 1/2,(= (x) (/ (1) (2))),30.0,(= (/ (-1) (x)) (-2))|0|(= (x) (/ (1) (2))),4,31.875
47,47.0,"(1 / x) = (2 + 3)
",(= (/ (1) (x)) (+ (2) (3))),True,x = 1/5,(= (x) (/ (1) (5))),47.0,unknown,unknown,unknown
179,179.0,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/3,(= (x) (/ (1) (3))),179.0,(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4)))|(= (+ (- (* (2) (x)) (* (3) (x))) (-1)) (-4))|(= (+ (* (-1) (x)) (-1)) (-4))|(= (x) (3)),12,26.555555555555557
92,92.0,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1/2,(= (x) (/ (-1) (2))),92.0,(= (* (1) (x)) (+ (* (2) (x)) (3)))|(= (- (* (-1) (x)) (- (3) (3))) (+ (0) (3)))|(= (x) (-3)),10,25.615384615384617
163,163.0,"1 = (2 + ((-3) / x))
",(= (1) (+ (2) (/ (-3) (x)))),True,x = 3,(= (x) (3)),163.0,(= (1) (+ (* (2) (x)) (-3)))|(= (+ (* (2) (x)) (-3)) (1))|(= (x) (2)),8,22.652173913043477
147,147.0,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),True,x = 1,(= (x) (1)),147.0,(= (* (-1) (x)) (+ (-2) (3)))|(= (* (-1) (x)) (+ (-2) (3)))|(= (x) (-1)),3,13.785714285714286
57,57.0,"(((-1) / x) + (-2)) = 3
",(= (+ (/ (-1) (x)) (-2)) (3)),True,x = -1/5,(= (x) (/ (-1) (5))),57.0,(= (+ (-1) (* (-2) (x))) (-3))|(= (+ (-1) (* (-2) (x))) (-3))|(= (+ (* (-2) (x)) (- (-1) (-1))) (- (-3) (-1)))|(= (x) (1)),9,21.59090909090909
149,149.0,"((-1) + ((-2) / x)) = (-3)
",(= (+ (-1) (/ (-2) (x))) (-3)),True,x = 1,(= (x) (1)),149.0,(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (-1) (x))) (-3)) (-2))|(= (+ (* (-3) (x)) (-3)) (-2))|(= (x) (/ (-1) (3))),12,37.68421052631579
243,243.0,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/5,(= (x) (/ (1) (5))),243.0,unknown,unknown,unknown
195,195.0,"(1 + -2x) = (-3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3)),195.0,(= (+ (-1) (* (2) (x))) (- (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (2) (x))) (-4)) (-1))|(= (+ (* (-5) (x)) (-4)) (-1))|(= (x) (/ (-3) (5))),12,35.666666666666664
136,136.0,"((-1) + 2x) = (3 + 4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -2,(= (x) (-2)),136.0,(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (4)))|(= (+ (- (* (3) (x)) (* (-2) (x))) (4)) (-1))|(= (+ (* (5) (x)) (4)) (-1))|(= (x) (-1)),12,35.666666666666664
116,116.0,"(1 + 2x) = (-3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5))),116.0,(= (- (-1) (* (2) (x))) (* (-3) (x)))|(= (* (+ (-3) (2)) (x)) (-1))|(= (x) (1)),6,27.785714285714285
41,41.0,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3)),41.0,(= (+ (* (-1) (x)) (2)) (-3))|(= (+ (* (-1) (x)) (2)) (-3))|(= (+ (* (-1) (x)) (2)) (-3))|(= (x) (5)),6,20.714285714285715
29,29.0,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2))),29.0,(= (+ (1) (/ (-2) (x))) (-3))|1|(= (x) (/ (1) (2))),6,44.86666666666667
125,125.0,"(-1) = ((2 / x) + (-3))
",(= (-1) (+ (/ (2) (x)) (-3))),True,x = 1,(= (x) (1)),125.0,(= (-1) (+ (/ (2) (x)) (-3)))|0|(= (x) (1)),5,37.86842105263158
24,24.0,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1)),24.0,(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4)))|(= (+ (* (1) (x)) (2)) (+ (-4) (* (-3) (x))))|(= (+ (- (* (-3) (x)) (* (x) (1))) (-4)) (2))|(= (+ (* (-4) (x)) (-4)) (2))|(= (x) (/ (-3) (2))),13,33.61764705882353
19,19.0,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1)),19.0,unknown,unknown,unknown
102,102.0,"-1x = ((2 / x) * x)
",(= (* (-1) (x)) (* (/ (2) (x)) (x))),True,x = -2,(= (x) (-2)),102.0,unknown,unknown,unknown
227,227.0,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),True,x = -1,(= (x) (-1)),227.0,unknown,unknown,unknown
122,122.0,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1/2,(= (x) (/ (-1) (2))),122.0,(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (2) (x))) (4)) (1))|(= (+ (* (-5) (x)) (4)) (1))|(= (x) (/ (3) (5))),12,34.65714285714286
210,210.0,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1)),210.0,unknown,unknown,unknown
281,281.0,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),True,x = 3,(= (x) (3)),281.0,unknown,unknown,unknown
256,256.0,"(1 / x) = (-2)
",(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2))),256.0,unknown,unknown,unknown
214,214.0,"1 = (2 - (3 / x))
",(= (1) (- (2) (/ (3) (x)))),True,x = 3,(= (x) (3)),214.0,unknown,unknown,unknown
108,108.0,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3))),108.0,(= (- (* (1) (x)) (2)) (* (3) (x)))|(= (+ (- (* (3) (x)) (* (1) (x))) (2)) (- (- (* (1) (x)) (2)) (- (* (1) (x)) (2))))|(= (+ (* (2) (x)) (2)) (- (- (* (1) (x)) (2)) (- (* (1) (x)) (2))))|(= (x) (-1)),22,26.185185185185187
161,161.0,"((-1) + -2x) = (3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1)),161.0,(= (+ (1) (* (-2) (x))) (+ (3) (* (4) (x))))|(= (+ (- (* (-2) (x)) (* (4) (x))) (1)) (3))|(= (+ (* (-6) (x)) (1)) (3))|(= (x) (/ (-1) (3))),12,42.72093023255814
58,58.0,"1 = ((-2) + (3 / x))
",(= (1) (+ (-2) (/ (3) (x)))),True,x = 1,(= (x) (1)),58.0,(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4)))|(= (+ (- (* (1) (x)) (2)) (2)) (+ (- (+ (* (3) (x)) (* (3) (0))) (4)) (2)))|(= (x) (+ (- (* (3) (x)) (4)) (2))),12,36.67567567567568
36,36.0,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7))),36.0,(= (* (-1) (x)) (2))|(= (* (-1) (x)) (2))|(= (x) (-2)),3,11.75
82,82.0,"(-1) = x
",(= (-1) (x)),True,x = -1,(= (x) (-1)),82.0,(= (* (1) (x)) (/ (* (2) (x)) (x)))|(= (x) (2)),4,7.5
165,165.0,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3))),165.0,unknown,unknown,unknown
193,193.0,"(-1x + 2) = (-3x - 4)
",(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3)),193.0,(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4)))|(= (- (* (5) (x)) (- (4) (4))) (+ (-1) (4)))|(= (x) (/ (3) (5))),8,36.78378378378378
100,100.0,"x = (((-1) + 2) / 3)
",(= (x) (/ (+ (-1) (2)) (3))),True,x = 1/3,(= (x) (/ (1) (3))),100.0,unknown,unknown,unknown
238,238.0,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),True,x = -1,(= (x) (-1)),238.0,unknown,unknown,unknown
138,138.0,"(1 + 2x) = (3 + 4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1)),138.0,unknown,unknown,unknown
76,76.0,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1)),76.0,(= (+ (* (-1) (x)) (* (2) (x))) (- (-3) (4)))|(= (x) (-7)),6,9.4
144,144.0,"((-1) + 2x) = ((-3) + -4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),144.0,(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x))))|(= (+ (- (* (2) (x)) (* (4) (x))) (1)) (3))|(= (+ (* (-2) (x)) (1)) (3))|(= (x) (-1)),12,38.69230769230769
153,153.0,"-1x = ((-2) + 3)
",(= (* (-1) (x)) (+ (-2) (3))),True,x = -1,(= (x) (-1)),153.0,(= (+ (/ (-1) (x)) (-2)) (-3))|3|(= (x) (1)),5,37.86842105263158
129,129.0,"1 = (2x - 3x)
",(= (1) (- (* (2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1)),129.0,unknown,unknown,unknown
10,10.0,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3))),10.0,(= (* (1) (x)) (-2))|(= (* (1) (x)) (-2))|(= (x) (-2)),3,0.5
150,150.0,"((1 + 2x) - 3) = 4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = -1,(= (x) (-1)),150.0,(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x)))|(= (+ (- (* (4) (x)) (* (2) (x))) (2)) (0))|(= (+ (* (2) (x)) (2)) (0))|(= (x) (-1)),10,31.6875
254,254.0,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3)),254.0,unknown,unknown,unknown
247,247.0,"(-1x - 2x) = ((-3) + 4)
",(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = -1/3,(= (x) (/ (-1) (3))),247.0,unknown,unknown,unknown
79,79.0,"(((-1) / x) + (-2)) = (-3)
",(= (+ (/ (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1)),79.0,(= (+ (-1) (2)) (* (3) (x)))|(= (* (3) (x)) (1))|(= (x) (/ (1) (3))),4,14.733333333333333
207,207.0,"(-1) = (-2x - 3)
",(= (-1) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1)),207.0,unknown,unknown,unknown
