,Unnamed: 0,Equation Number,eqn,soln,metrics
0,0,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
1,1,2,"((-1) + 2x) = (3x + (-4))
","((-1) + 2x) = (3x + (-4))
|(2x + (-1)) = (3x + (-4))|((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|2x = ((3x + (-4)) - (-1))|2x = (3x + ((-4) - (-1)))|-1x = (((-4) - (-1)) + 0)|-1x = (-3)|x = 3",15
2,2,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|-1x = ((-3x + (-4)) - (-2))|-1x = (-3x + ((-4) - (-2)))|2x = (((-4) - (-2)) + 0)|2x = (-2)|x = (-1)",14
3,3,4,"(-1x + 2) = (-3x + 4)
","(-1x + 2) = (-3x + 4)
|((-1x + 2) - 2) = ((-3x + 4) - 2)|-1x = ((-3x + 4) - 2)|-1x = (-3x + (4 - 2))|2x = ((4 - 2) + 0)|2x = 2|x = 1",14
4,4,5,"(1x - 2) = -3x
","(1x - 2) = -3x
|-3x = (1x - 2)|-3x = (1x + (-2))|-4x = ((-2) + 0)|-4x = (-2)|x = [1/2]",9
5,5,6,"1x = (((-2) + 3x) + 4)
","1x = (((-2) + 3x) + 4)
|1x = ((3x + (-2)) + 4)|1x = (3x + ((-2) + 4))|-2x = (((-2) + 4) + 0)|-2x = 2|x = (-1)",9
6,6,9,"(-1x / x) = -2x
","(-1x / x) = -2x
|-2x = (-1x / x)|-2x = ((-1) * (x / x))|-2x = ((-1) * 1)|-2x = (-1)|x = [1/2]",11
7,7,10,"(-1x + (-2)) = ((-3) + -4x)
","(-1x + (-2)) = ((-3) + -4x)
|((-1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|-1x = (((-3) + -4x) - (-2))|-1x = ((-4x + (-3)) - (-2))|-1x = (-4x + ((-3) - (-2)))|3x = (((-3) - (-2)) + 0)|3x = (-1)|x = ([-1/3])",16
8,8,11,"((-1x - 2) + 3x) = (4x + 5x)
","((-1x - 2) + 3x) = (4x + 5x)
|(4x + 5x) = ((-1x - 2) + 3x)|(4x + 5x) = (3x + (-1x - 2))|(4x + 5x) = ((3x + -1x) - 2)|((4 + 5) * x) = ((3x + -1x) - 2)|9x = ((3x + -1x) - 2)|9x = ((3x + -1x) + (-2))|9x = (((3 + (-1)) * x) + (-2))|9x = (2x + (-2))|7x = ((-2) + 0)|7x = (-2)|x = ([-2/7])",25
9,9,12,"(1x + (-2)) = ((-3) + 4x)
","(1x + (-2)) = ((-3) + 4x)
|((1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|1x = (((-3) + 4x) - (-2))|1x = ((4x + (-3)) - (-2))|1x = (4x + ((-3) - (-2)))|-3x = (((-3) - (-2)) + 0)|-3x = (-1)|x = [1/3]",16
10,10,13,"((x - 1) - 2x) = 3x
","((x - 1) - 2x) = 3x
|3x = ((x - 1) - 2x)|3x = ((x - 2x) - 1)|3x = ((x + -2x) - 1)|3x = ((x + -2x) + (-1))|3x = ((-2x + x) + (-1))|3x = (-2x + (x + (-1)))|5x = ((x + (-1)) + 0)|(5x * (-1)) = (((x + (-1)) + 0) * (-1))|((-1) * 5x) = (((x + (-1)) + 0) * (-1))|(((-1) * 5) * x) = (((x + (-1)) + 0) * (-1))|(((-1) * 5) * x) = ((x + ((-1) + 0)) * (-1))|(((-1) * 5) * x) = ((x * (-1)) + (((-1) + 0) * (-1)))|(((-1) * 5) * x) = (-1x + (((-1) + 0) * (-1)))|-5x = (-1x + (((-1) + 0) * (-1)))|-5x = (-1x + 1)|-4x = (1 + 0)|-4x = 1|x = ([-1/4])",32
11,11,14,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
","(1x - 2x) = (((3 - 4x) - 5) - 6x)
|(1x - 2x) = (((3 - 5) - 4x) - 6x)|((1 - 2) * x) = (((3 - 5) - 4x) - 6x)|((1 - 2) * x) = (((3 - 5) + -4x) - 6x)|-1x = (((3 - 5) + -4x) - 6x)|-1x = (((3 - 5) + -4x) + -6x)|-1x = (-6x + ((3 - 5) + -4x))|-1x = (-6x + (-4x + (3 - 5)))|5x = ((-4x + (3 - 5)) + 0)|5x = (-4x + (3 - 5))|9x = ((3 - 5) + 0)|9x = (-2)|x = ([-2/9])",27
12,12,17,"(1x + (-2)) = (-3x + 4)
","(1x + (-2)) = (-3x + 4)
|((1x + (-2)) - (-2)) = ((-3x + 4) - (-2))|1x = ((-3x + 4) - (-2))|1x = (-3x + (4 - (-2)))|4x = ((4 - (-2)) + 0)|4x = 6|x = [3/2]",15
13,13,18,"((-1x + 2) - 3) = -4x
","((-1x + 2) - 3) = -4x
|-4x = ((-1x + 2) - 3)|-4x = (-1x + (2 - 3))|-3x = ((2 - 3) + 0)|-3x = (-1)|x = [1/3]",13
14,14,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|(-1) = (3x + 2)|(3x + 2) = (-1)|3x = (-3)|x = (-1)",7
15,15,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|(1x + (-2)) = (-4x + 3)|((1x + (-2)) - (-2)) = ((-4x + 3) - (-2))|1x = ((-4x + 3) - (-2))|1x = (-4x + (3 - (-2)))|5x = ((3 - (-2)) + 0)|5x = 5|x = 1",15
16,16,21,"((-1) / 2) = x
","((-1) / 2) = x
|x = ((-1) / 2)|x = ([-1/2])",4
17,17,23,"(1x - 2) = ((-3) - 4x)
","(1x - 2) = ((-3) - 4x)
|(1x - 2) = ((-3) + -4x)|((1x - 2) + 2) = (((-3) + -4x) + 2)|((1x + (-2)) + 2) = (((-3) + -4x) + 2)|1x = (((-3) + -4x) + 2)|1x = ((-4x + (-3)) + 2)|1x = (-4x + ((-3) + 2))|5x = (((-3) + 2) + 0)|5x = (-1)|x = ([-1/5])",18
18,18,24,"-1x = (2x + 3)
","-1x = (2x + 3)
|-3x = (3 + 0)|-3x = 3|x = (-1)",5
19,19,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|(-2x + 1) = (-3x + (-4))|((-2x + 1) - 1) = ((-3x + (-4)) - 1)|-2x = ((-3x + (-4)) - 1)|-2x = (-3x + ((-4) - 1))|1x = (((-4) - 1) + 0)|1x = (-5)|x = (-5)",15
20,20,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|(-2x + 1) = ((-3) + -4x)|((-2x + 1) - 1) = (((-3) + -4x) - 1)|-2x = (((-3) + -4x) - 1)|-2x = ((-4x + (-3)) - 1)|-2x = (-4x + ((-3) - 1))|2x = (((-3) - 1) + 0)|2x = (-4)|x = (-2)",16
21,21,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|(2 / x) = 4|((2 / x) * 2) = (4 * 2)|(2 * (2 / x)) = (4 * 2)|(2 * (2 / x)) = 8|((2 * 2) / x) = 8|(4 / x) = 8|((4 / x) * 8) = (8 * 8)|(8 * (4 / x)) = (8 * 8)|((8 * 4) / x) = (8 * 8)|((4 * 8) / x) = (8 * 8)|(8 * 8) = ((4 * 8) / x)|(8 * 8) = (4 * (8 / x))|((8 * 8) * x) = ((4 * (8 / x)) * x)|((8 * 8) * x) = (x * (4 * (8 / x)))|((8 * 8) * x) = (x * ((4 * 8) / x))|((8 * 8) * x) = (x * ((8 * 4) / x))|((8 * 8) * x) = (x * (8 * (4 / x)))|((8 * 8) * x) = ((x * 8) * (4 / x))|((8 * 8) * x) = (8x * (4 / x))|((8 * 8) * x) = ((8x * 4) / x)|((8 * 8) * x) = ((4 * 8x) / x)|((8 * 8) * x) = (4 * (8x / x))|((8 * 8) * x) = (4 * (8 * (x / x)))|((8 * 8) * x) = (4 * (8 * 1))|64x = (4 * (8 * 1))|64x = (4 * 8)|64x = 32|x = [1/2]",49
22,22,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",8
23,23,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(-2x + (-1)) = (-3x + (-4))|((-2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",15
24,24,32,"((-1x + 2) - 3x) = 4
","((-1x + 2) - 3x) = 4
|((-1x + 2) + -3x) = 4|((-3x + (-1x + 2)) - 2) = 2|(-3x + ((-1x + 2) - 2)) = 2|(-3x + -1x) = 2|(((-3) + (-1)) * x) = 2|-4x = 2|x = ([-1/2])",14
25,25,33,"1 = ((-2) + -3x)
","1 = ((-2) + -3x)
|1 = (-3x + (-2))|(-3x + (-2)) = 1|-3x = 3|x = (-1)",7
26,26,34,"((-1) - 2x) = (3x - 4)
","((-1) - 2x) = (3x - 4)
|((-1) + -2x) = (3x - 4)|(-2x + (-1)) = (3x - 4)|((-2x + (-1)) - (-1)) = ((3x - 4) - (-1))|-2x = ((3x - 4) - (-1))|-2x = ((3x + (-4)) - (-1))|-2x = (3x + ((-4) - (-1)))|-5x = (((-4) - (-1)) + 0)|-5x = (-3)|x = [3/5]",18
27,27,35,"((1x - 2) + 3) = ((4x - 5) + 6)
","((1x - 2) + 3) = ((4x - 5) + 6)
|((1x + (-2)) + 3) = ((4x - 5) + 6)|(1x + ((-2) + 3)) = ((4x - 5) + 6)|(1x + 1) = ((4x - 5) + 6)|((1x + 1) - 1) = (((4x - 5) + 6) - 1)|1x = (((4x - 5) + 6) - 1)|1x = (((4x + (-5)) + 6) - 1)|1x = ((4x + ((-5) + 6)) - 1)|1x = (4x + (((-5) + 6) - 1))|1x = (4x + 0)|-3x = (0 + 0)|-3x = 0|x = 0",22
28,28,36,"1 = ((2 - 3x) - 4x)
","1 = ((2 - 3x) - 4x)
|1 = ((2 + -3x) - 4x)|1 = ((-3x + 2) - 4x)|1 = ((-3x + 2) + -4x)|1 = (-4x + (-3x + 2))|1 = ((-4x + -3x) + 2)|1 = ((((-4) + (-3)) * x) + 2)|1 = (-7x + 2)|(-7x + 2) = 1|-7x = (-1)|x = [1/7]",20
29,29,37,"((1 + 2) * x) = 3
","((1 + 2) * x) = 3
|3x = 3|x = 1",6
30,30,39,"x = (-1x + 2)
","x = (-1x + 2)
|(x * 2) = ((-1x + 2) * 2)|(x * 2) = ((-1x * 2) + (2 * 2))|2x = ((-1x * 2) + (2 * 2))|2x = ((2 * -1x) + (2 * 2))|2x = (((2 * (-1)) * x) + (2 * 2))|2x = (-2x + (2 * 2))|4x = ((2 * 2) + 0)|4x = 4|x = 1",20
31,31,40,"1 = (2x + 3)
","1 = (2x + 3)
|(2x + 3) = 1|2x = (-2)|x = (-1)",6
32,32,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|(2x + 1) = (3x + 4)|((2x + 1) - 1) = ((3x + 4) - 1)|2x = ((3x + 4) - 1)|2x = (3x + (4 - 1))|-1x = ((4 - 1) + 0)|-1x = 3|x = (-3)",15
33,33,43,"((-1) + -2x) = (-3)
","((-1) + -2x) = (-3)
|-2x = (-2)|x = 1",4
34,34,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(2x + (-1)) = (-3x + (-4))|((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|2x = ((-3x + (-4)) - (-1))|2x = (-3x + ((-4) - (-1)))|5x = (((-4) - (-1)) + 0)|5x = (-3)|x = ([-3/5])",16
35,35,45,"(1x - -2x) = 3
","(1x - -2x) = 3
|((1 - (-2)) * x) = 3|3x = 3|x = 1",8
36,36,46,"((-1) + 2x) = (3x - 4)
","((-1) + 2x) = (3x - 4)
|(2x + (-1)) = (3x - 4)|((2x + (-1)) - (-1)) = ((3x - 4) - (-1))|((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|2x = ((3x + (-4)) - (-1))|2x = (3x + ((-4) - (-1)))|-1x = (((-4) - (-1)) + 0)|-1x = (-3)|x = 3",16
37,37,48,"(-1x + 2) = (3x + (-4))
","(-1x + 2) = (3x + (-4))
|((-1x + 2) - 2) = ((3x + (-4)) - 2)|-1x = ((3x + (-4)) - 2)|-1x = (3x + ((-4) - 2))|-4x = (((-4) - 2) + 0)|-4x = (-6)|x = [3/2]",15
38,38,49,"(-1x + 2x) = ((-3) + 4)
","(-1x + 2x) = ((-3) + 4)
|(((-1) + 2) * x) = ((-3) + 4)|1x = ((-3) + 4)|1x = 1|x = 1",10
39,39,50,"1x = (2 + 3)
","1x = (2 + 3)
|1x = 5|x = 5",4
40,40,51,"((-1) - 2x) = (3 - 4x)
","((-1) - 2x) = (3 - 4x)
|((-1) - 2x) = (3 + -4x)|((-1) + -2x) = (3 + -4x)|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",18
41,41,53,"1 = -2x
","1 = -2x
|-2x = 1|x = ([-1/2])",4
42,42,54,"((-1) + -2x) = ((-3) + -4x)
","((-1) + -2x) = ((-3) + -4x)
|(-2x + (-1)) = ((-3) + -4x)|((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|-2x = (((-3) + -4x) - (-1))|-2x = ((-4x + (-3)) - (-1))|-2x = (-4x + ((-3) - (-1)))|2x = (((-3) - (-1)) + 0)|2x = (-2)|x = (-1)",16
43,43,55,"-1x = (-2)
","-1x = (-2)
|x = 2",2
44,44,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",16
45,45,60,"(1x + 2) = (3 - 4x)
","(1x + 2) = (3 - 4x)
|(1x + 2) = (3 + -4x)|(1x + 2) = (-4x + 3)|((1x + 2) - 2) = ((-4x + 3) - 2)|1x = ((-4x + 3) - 2)|1x = (-4x + (3 - 2))|5x = ((3 - 2) + 0)|5x = 1|x = [1/5]",17
46,46,61,"(1 + -2x) = 3
","(1 + -2x) = 3
|-2x = 2|x = (-1)",4
47,47,62,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
","(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
|(3x + ((-1) + 2x)) = ((-4x + (-5)) + 6x)|(3x + ((-1) + 2x)) = (((-5) + -4x) + 6x)|(3x + (2x + (-1))) = (((-5) + -4x) + 6x)|((3x + (2x + (-1))) - (-1)) = ((((-5) + -4x) + 6x) - (-1))|((3x + (2x + (-1))) - (-1)) = ((6x + ((-5) + -4x)) - (-1))|(3x + ((2x + (-1)) - (-1))) = ((6x + ((-5) + -4x)) - (-1))|(3x + 2x) = ((6x + ((-5) + -4x)) - (-1))|(2x + 3x) = ((6x + ((-5) + -4x)) - (-1))|((2 + 3) * x) = ((6x + ((-5) + -4x)) - (-1))|((2 + 3) * x) = ((6x + (-4x + (-5))) - (-1))|((2 + 3) * x) = (((6x + -4x) + (-5)) - (-1))|((2 + 3) * x) = ((((6 + (-4)) * x) + (-5)) - (-1))|5x = ((((6 + (-4)) * x) + (-5)) - (-1))|5x = ((2x + (-5)) - (-1))|5x = (2x + ((-5) - (-1)))|3x = (((-5) - (-1)) + 0)|3x = (-4)|x = ([-4/3])",36
48,48,63,"1x = (2x + 3)
","1x = (2x + 3)
|-1x = (3 + 0)|-1x = 3|x = (-3)",5
49,49,64,"((-1x - 2) + 3) = 4x
","((-1x - 2) + 3) = 4x
|4x = ((-1x - 2) + 3)|4x = ((-1x + (-2)) + 3)|4x = (-1x + ((-2) + 3))|5x = (((-2) + 3) + 0)|5x = 1|x = [1/5]",14
50,50,65,"((1 - 2) / 3) = x
","((1 - 2) / 3) = x
|x = ((1 - 2) / 3)|x = ([-1/3])",7
51,51,68,"(1x + (-2)) = (-3x + (-4))
","(1x + (-2)) = (-3x + (-4))
|((1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|1x = ((-3x + (-4)) - (-2))|1x = (-3x + ((-4) - (-2)))|4x = (((-4) - (-2)) + 0)|4x = (-2)|x = ([-1/2])",15
52,52,69,"(-1x + (-2)) = (-3)
","(-1x + (-2)) = (-3)
|-1x = (-1)|x = 1",4
53,53,70,"(-1x - 2) = (3 + 4x)
","(-1x - 2) = (3 + 4x)
|(-1x + (-2)) = (3 + 4x)|(-1x + (-2)) = (4x + 3)|(4x + 3) = (-1x + (-2))|((4x + 3) - 3) = ((-1x + (-2)) - 3)|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",17
54,54,71,"(-1x + 2) = (-3)
","(-1x + 2) = (-3)
|-1x = (-5)|x = 5",4
55,55,72,"((-1) + 2x) = 3
","((-1) + 2x) = 3
|2x = 4|x = 2",4
56,56,73,"(-1x + (-2)) = ((-3) + 4x)
","(-1x + (-2)) = ((-3) + 4x)
|((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|-1x = (((-3) + 4x) - (-2))|-1x = ((4x + (-3)) - (-2))|-1x = (4x + ((-3) - (-2)))|-5x = (((-3) - (-2)) + 0)|-5x = (-1)|x = [1/5]",16
57,57,74,"(-1x + 2) = ((-3) + 4x)
","(-1x + 2) = ((-3) + 4x)
|(-1x + 2) = (4x + (-3))|((-1x + 2) - 2) = ((4x + (-3)) - 2)|-1x = ((4x + (-3)) - 2)|-1x = (4x + ((-3) - 2))|-5x = (((-3) - 2) + 0)|-5x = (-5)|x = 1",15
58,58,75,"((-1) + -2x) = (-3x + 4)
","((-1) + -2x) = (-3x + 4)
|(-2x + (-1)) = (-3x + 4)|((-2x + (-1)) - (-1)) = ((-3x + 4) - (-1))|-2x = ((-3x + 4) - (-1))|-2x = (-3x + (4 - (-1)))|1x = ((4 - (-1)) + 0)|1x = 5|x = 5",15
59,59,76,"((-1) - 2x) = (-3)
","((-1) - 2x) = (-3)
|((-1) + -2x) = (-3)|-2x = (-2)|x = 1",5
60,60,78,"1x = (((2 - 3x) - 4) + 5x)
","1x = (((2 - 3x) - 4) + 5x)
|1x = (((2 + -3x) - 4) + 5x)|1x = (5x + ((2 + -3x) - 4))|1x = (5x + ((-3x + 2) - 4))|-4x = (((-3x + 2) - 4) + 0)|-4x = ((-3x + 2) - 4)|-4x = (-3x + (2 - 4))|-1x = ((2 - 4) + 0)|-1x = (-2)|x = 2",20
61,61,80,"(1x + (-2)) = ((-3) + -4x)
","(1x + (-2)) = ((-3) + -4x)
|((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|1x = (((-3) + -4x) - (-2))|1x = ((-4x + (-3)) - (-2))|1x = (-4x + ((-3) - (-2)))|5x = (((-3) - (-2)) + 0)|5x = (-1)|x = ([-1/5])",16
62,62,81,"1x = (-2x - 3)
","1x = (-2x - 3)
|1x = (-2x + (-3))|3x = ((-3) + 0)|3x = (-3)|x = (-1)",6
63,63,82,"(-1) = x
","(-1) = x
|x = (-1)",2
64,64,83,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
","((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
|(3x + (1 + 2x)) = ((-4x + (-5)) + 6x)|(3x + (1 + 2x)) = (((-5) + -4x) + 6x)|(3x + (2x + 1)) = (((-5) + -4x) + 6x)|(3x + (2x + 1)) = (6x + ((-5) + -4x))|((3x + (2x + 1)) - 1) = ((6x + ((-5) + -4x)) - 1)|(3x + ((2x + 1) - 1)) = ((6x + ((-5) + -4x)) - 1)|(3x + 2x) = ((6x + ((-5) + -4x)) - 1)|(2x + 3x) = ((6x + ((-5) + -4x)) - 1)|((2 + 3) * x) = ((6x + ((-5) + -4x)) - 1)|5x = ((6x + ((-5) + -4x)) - 1)|5x = ((6x + (-4x + (-5))) - 1)|5x = (((6x + -4x) + (-5)) - 1)|5x = ((((6 + (-4)) * x) + (-5)) - 1)|5x = ((2x + (-5)) - 1)|5x = (2x + ((-5) - 1))|3x = (((-5) - 1) + 0)|3x = (-6)|x = (-2)",35
65,65,85,"x = ((1 - 2) / (-3))
","x = ((1 - 2) / (-3))
|x = [1/3]",3
66,66,86,"(1 + -2x) = ((-3) + 4x)
","(1 + -2x) = ((-3) + 4x)
|(-2x + 1) = ((-3) + 4x)|(-2x + 1) = (4x + (-3))|((-2x + 1) - 1) = ((4x + (-3)) - 1)|-2x = ((4x + (-3)) - 1)|-2x = (4x + ((-3) - 1))|-6x = (((-3) - 1) + 0)|-6x = (-4)|x = [2/3]",17
67,67,88,"(1 + -2x) = (-3)
","(1 + -2x) = (-3)
|-2x = (-4)|x = 2",4
68,68,89,"(-1x + 2) = (3 + -4x)
","(-1x + 2) = (3 + -4x)
|(-1x + 2) = (-4x + 3)|((-1x + 2) - 2) = ((-4x + 3) - 2)|-1x = ((-4x + 3) - 2)|-1x = (-4x + (3 - 2))|3x = ((3 - 2) + 0)|3x = 1|x = [1/3]",16
69,69,90,"1 = (2x + (-3))
","1 = (2x + (-3))
|(2x + (-3)) = 1|2x = 4|x = 2",6
70,70,92,"(-1x + 2) = (3x + 4)
","(-1x + 2) = (3x + 4)
|((-1x + 2) - 2) = ((3x + 4) - 2)|-1x = ((3x + 4) - 2)|-1x = (3x + (4 - 2))|-4x = ((4 - 2) + 0)|-4x = 2|x = ([-1/2])",15
71,71,93,"(1x - -2x) = (-3)
","(1x - -2x) = (-3)
|((1 - (-2)) * x) = (-3)|3x = (-3)|x = (-1)",8
72,72,94,"(-1x + 2) = 3
","(-1x + 2) = 3
|-1x = 1|x = (-1)",4
73,73,95,"(1 + -2x) = (3 + 4x)
","(1 + -2x) = (3 + 4x)
|(-2x + 1) = (3 + 4x)|(-2x + 1) = (4x + 3)|((-2x + 1) - 1) = ((4x + 3) - 1)|-2x = ((4x + 3) - 1)|-2x = (4x + (3 - 1))|-6x = ((3 - 1) + 0)|-6x = 2|x = ([-1/3])",17
74,74,96,"(-1) = ((2x + 3x) - 4)
","(-1) = ((2x + 3x) - 4)
|((2x + 3x) - 4) = (-1)|(2x + 3x) = 3|((2 + 3) * x) = 3|5x = 3|x = [3/5]",15
